user_id,text_id,text,timestamp,collection_phase,is_words,valence,arousal,is_seen_user,valence_preds_user_ablated,arousal_preds_user_ablated,valence_preds_orig,arousal_preds_orig,delta_user_valence,delta_user_arousal
3,256,I ' m on my first day off of three and feeling pretty good . Just been lazy today and trying to clean the house here and there . I enjoy being home and spending time with my daughters ............\ nThey are both sleeping now so I ' m gonna watch some ORG haha \ n,2021-06-14 20:17:40,1,False,1.0,1.0,True,0.28189221024513245,0.3529379367828369,0.2818922102451324,0.3529379367828369,5.551115123125783e-17,0.0
3,257,I have been feeling pretty good . Enjoying my last day off apparently . I got called in tomorrow to work a private party of 40 golfers . So that should be some pretty decent money I think . I also have a doctor ' s appointment in the am so that should be fun .,2021-06-15 19:12:56,1,False,1.0,1.0,True,1.1000603437423706,0.6327030062675476,1.1000603437423706,0.6327030062675476,0.0,0.0
3,258,"Feeling good today , just got back from a Dr ' s appointment .   Grabbed some burger king on the way home for me and my oldest daughter . It was surprisingly good for a change . Bartending a private party later tonight",2021-06-16 14:36:11,1,False,1.0,0.0,True,1.07027006149292,0.6918216347694397,1.07027006149292,0.6918216347694397,0.0,0.0
3,249,Last night I bartended a private party of 45 golfers . They were alot of fun and I made some decent money . I ' ve been feeling pretty good regardless of this cold that won ' t seem to go \naway . But I work tonight and it should be busy so I ' m excited,2021-06-17 14:43:36,1,False,1.0,1.0,True,1.2612640857696533,1.1013591289520264,1.261264085769653,1.1013591289520264,2.220446049250313e-16,0.0
3,250,I ' ve been feeling pretty good except for the fact that I can ' t get enough sleep it seems . Im so tired when I wake up that I almost need a nap instantly .   I have work tonight again so maybe I can get a nap in before,2021-06-18 12:35:39,1,False,1.0,1.0,True,0.08614425361156464,0.3679395318031311,0.0861442536115646,0.3679395318031311,4.163336342344337e-17,0.0
7,349,Last night I felt pretty high on life aftera good shift at work . I had a couple of light drinks after work . Today I have been really dragging and trying to find motivation and alertness . 200 character rule is silly .,2021-03-13 16:07:30,1,False,-1.0,0.0,True,-0.06567905098199844,0.6174992918968201,-0.0656790509819984,0.6174992918968201,4.163336342344337e-17,0.0
7,350,I have been feeling generally extremely tired . I got a full night of sleep and did not have any drinks . Heading into work for a night shift now and still can ' t snap out of the foggy feeling . Why do you require 200 characters .,2021-03-14 17:46:14,1,False,-2.0,0.0,True,-1.4504668712615967,0.059614937752485275,-1.450466871261597,0.0596149377524852,2.220446049250313e-16,7.632783294297951e-17
10,411,"Happy , Content , Relaxed , Calm , Tired",2021-06-12 12:10:12,1,True,2.0,0.0,True,1.444920301437378,0.9048470258712769,1.444920301437378,0.9048470258712769,0.0,0.0
10,412,"Quiet , Calm , Content , Happy , Tired",2021-06-12 22:00:42,1,True,2.0,0.0,True,0.9453469514846802,0.5783153772354126,0.9453469514846802,0.5783153772354126,0.0,0.0
10,413,"Tired , Content , Happy , Calm , Relaxed",2021-06-13 12:05:52,1,True,2.0,0.0,True,0.8400853872299194,0.6293394565582275,0.8400853872299194,0.6293394565582275,0.0,0.0
