group,target,n,bias,mae,rmse,std
seen,valence,692,0.044144531697131735,0.7531219308891716,0.9620722936186753,0.9617541379147972
seen,arousal,692,0.09886966634210673,0.511141056666619,0.6364539036605333,0.6291823484921661
unseen,valence,1045,0.074228400507113,0.7407379745421084,0.9360100116612642,0.9335088640258308
unseen,arousal,1045,-0.09524053838995228,0.4972408233593668,0.6256603374203489,0.6186649837589847
seen_own_id,valence,601,0.10186021319108576,0.755171929964929,0.9690204434827387,0.9644546777242794
seen_own_id,arousal,601,0.11159323276208091,0.5095331183643996,0.6327521012340075,0.6233527965535429
seen_unknown,valence,91,-0.337032661466235,0.7395829260042244,0.9148598125151113,0.8552280333407871
seen_unknown,arousal,91,0.014838200205793746,0.5217605173219364,0.6603812025681471,0.6638722066392033
is_words,valence,930,0.10411217135968068,0.7171780422730472,0.9093447151366707,0.9038511516025304
is_words,arousal,930,0.0030223257404061094,0.47619051936142626,0.5925428026969756,0.5928539191993782
not_is_words,valence,807,0.013993029863500905,0.7785080300593261,0.9875426959258748,0.9880559216758794
not_is_words,arousal,807,-0.04203137106237912,0.533418945003361,0.670541009425453,0.6696374130905188
